Question ID,NetSuite Module,User Question,Clarification Question,Query ID,Live Lookup Field,SQL Query,Available Options,JSON Status,JSON Row Count,JSON Error,JSON Details,JSON Items,Selector Type
q1,Financial Management,Show me our account balances,Which account types would you like to include?,account-types,accttype,"SELECT DISTINCT a.accttype as value, CASE a.accttype WHEN 'Bank' THEN 'Bank' WHEN 'AcctRec' THEN 'Accounts Receivable' WHEN 'AcctPay' THEN 'Accounts Payable' WHEN 'OthCurrAsset' THEN 'Other Current Asset' WHEN 'FixedAsset' THEN 'Fixed Asset' WHEN 'OthAsset' THEN 'Other Asset' WHEN 'LongTermLiab' THEN 'Long Term Liability' WHEN 'Equity' THEN 'Equity' WHEN 'Income' THEN 'Income' WHEN 'COGS' THEN 'Cost of Goods Sold' WHEN 'Expense' THEN 'Expense' WHEN 'OthIncome' THEN 'Other Income' WHEN 'OthExpense' THEN 'Other Expense' ELSE a.accttype END as display_value FROM account a WHERE ROWNUM <= 100","Accounts Payable, Accounts Receivable, Bank, Cost of Goods Sold",success,4,,,"[{""links"": [], ""display_value"": ""Accounts Payable"", ""value"": ""AcctPay""}, {""links"": [], ""display_value"": ""Accounts Receivable"", ""value"": ""AcctRec""}, {""links"": [], ""display_value"": ""Bank"", ""value"": ""Bank""}, {""links"": [], ""display_value"": ""Cost of Goods Sold"", ""value"": ""COGS""}]",Checkbox Multi-Select
q2,Financial Management,List all journal entries from last month,Which types of journal entries should be included?,journal-entry-types,'Journal',"SELECT 'Journal' as value, 'Standard Journal Entry' as display_value FROM DUAL UNION ALL SELECT 'Advanced' as value, 'Advanced Intercompany Journal' as display_value FROM DUAL","Advanced Intercompany Journal, Standard Journal Entry",success,2,,,"[{""links"": [], ""display_value"": ""Advanced Intercompany Journal"", ""value"": ""Advanced""}, {""links"": [], ""display_value"": ""Standard Journal Entry"", ""value"": ""Journal""}]",Checkbox Multi-Select
q3,Financial Management,Show me GL transactions,What is the source of the transactions you want to see?,transaction-source,createdby,"SELECT DISTINCT t.createdby as value, t.createdby as display_value FROM transaction t WHERE t.type = 'Journal' AND ROWNUM <= 50",No data found,success,0,,,[],Not Applicable
q4,Financial Management,What's our chart of accounts?,Which account types would you like to see?,posting-vs-nonposting,'posting',"SELECT 'posting' as value, 'Posting accounts only' as display_value FROM DUAL UNION ALL SELECT 'nonposting' as value, 'Non-posting accounts only' as display_value FROM DUAL UNION ALL SELECT 'both' as value, 'Both posting and non-posting' as display_value FROM DUAL","Both posting and non-posting, Non-posting accounts only, Posting accounts only",success,3,,,"[{""links"": [], ""display_value"": ""Both posting and non-posting"", ""value"": ""both""}, {""links"": [], ""display_value"": ""Non-posting accounts only"", ""value"": ""nonposting""}, {""links"": [], ""display_value"": ""Posting accounts only"", ""value"": ""posting""}]",Checkbox Multi-Select
q5,Financial Management,Show me revenue for this year,Which year definition should I use?,fiscal-vs-calendar,'fiscal',"SELECT 'fiscal' as value, 'Fiscal Year' as display_value FROM DUAL UNION ALL SELECT 'calendar' as value, 'Calendar Year' as display_value FROM DUAL","Calendar Year, Fiscal Year",success,2,,,"[{""links"": [], ""display_value"": ""Calendar Year"", ""value"": ""calendar""}, {""links"": [], ""display_value"": ""Fiscal Year"", ""value"": ""fiscal""}]",Checkbox Multi-Select
q6,Financial Management,Get me last month's expenses,How should I determine which expenses to include?,accounting-period,'current',"SELECT 'current' as value, 'Current Period' as display_value FROM DUAL UNION ALL SELECT 'previous' as value, 'Previous Period' as display_value FROM DUAL UNION ALL SELECT 'ytd' as value, 'Year to Date' as display_value FROM DUAL UNION ALL SELECT 'last_quarter' as value, 'Last Quarter' as display_value FROM DUAL","Current Period, Last Quarter, Previous Period, Year to Date",success,4,,,"[{""links"": [], ""display_value"": ""Current Period"", ""value"": ""current""}, {""links"": [], ""display_value"": ""Last Quarter"", ""value"": ""last_quarter""}, {""links"": [], ""display_value"": ""Previous Period"", ""value"": ""previous""}, {""links"": [], ""display_value"": ""Year to Date"", ""value"": ""ytd""}]",Checkbox Multi-Select
q7,Financial Management,Show annual financial statements,Should I include year-end adjustment periods?,adjustment-periods,'yes',"SELECT 'yes' as value, 'Include Adjustment Periods' as display_value FROM DUAL UNION ALL SELECT 'no' as value, 'Exclude Adjustment Periods' as display_value FROM DUAL","Exclude Adjustment Periods, Include Adjustment Periods",success,2,,,"[{""links"": [], ""display_value"": ""Exclude Adjustment Periods"", ""value"": ""no""}, {""links"": [], ""display_value"": ""Include Adjustment Periods"", ""value"": ""yes""}]",Checkbox Multi-Select
q8,Financial Management,Which periods can we still post to?,What period statuses would you like to see?,period-status,'open',"SELECT 'open' as value, 'Open Periods' as display_value FROM DUAL UNION ALL SELECT 'closed' as value, 'Closed Periods' as display_value FROM DUAL UNION ALL SELECT 'all' as value, 'All Periods' as display_value FROM DUAL","All Periods, Closed Periods, Open Periods",success,3,,,"[{""links"": [], ""display_value"": ""All Periods"", ""value"": ""all""}, {""links"": [], ""display_value"": ""Closed Periods"", ""value"": ""closed""}, {""links"": [], ""display_value"": ""Open Periods"", ""value"": ""open""}]",Checkbox Multi-Select
q9,Financial Management,Show me sales trends,What time period would you like to analyze?,time-period,'mtd',SELECT * FROM time_period_options,"Custom Date Range, Month to Date, Quarter to Date, Rolling 30 Days, Rolling 90 Days, Year to Date",success,6,,,"[{""links"": [], ""display_value"": ""Custom Date Range"", ""value"": ""custom""}, {""links"": [], ""display_value"": ""Month to Date"", ""value"": ""mtd""}, {""links"": [], ""display_value"": ""Quarter to Date"", ""value"": ""qtd""}, {""links"": [], ""display_value"": ""Rolling 30 Days"", ""value"": ""rolling30""}, {""links"": [], ""display_value"": ""Rolling 90 Days"", ""value"": ""rolling90""}, {""links"": [], ""display_value"": ""Year to Date"", ""value"": ""ytd""}]",Dropdown Multi-Select
q10,Accounts Receivable,Show me customer sales,Which types of sales transactions should I include?,ar-transaction-types,type,"SELECT DISTINCT t.type as value, ttr.type_name WHEN 'SalesOrd' THEN 'Sales Orders' WHEN 'CustInvc' THEN 'Invoices' WHEN 'CashSale' THEN 'Cash Sales' WHEN 'CustCred' THEN 'Credit Memos' ELSE 'Type: ' || t.type END as display_value FROM transaction t
LEFT JOIN transaction_type_ref ttr ON t.type = ttr.type_code WHERE t.type IN ('SalesOrd', 'CustInvc', 'CashSale', 'CustCred') AND ROWNUM <= 20","Cash Sale, Sales Order",success,2,,,"[{""links"": [], ""display_value"": ""Cash Sale"", ""value"": ""CashSale""}, {""links"": [], ""display_value"": ""Sales Order"", ""value"": ""SalesOrd""}]",Checkbox Multi-Select
